Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Diabetes mellitus,100 g/day,Both,Both,,,,,,,,,,"1.125
(1.027 to 1.238)","1.122
(1.026 to 1.233)","1.119
(1.025 to 1.226)","1.113
(1.024 to 1.214)","1.102
(1.022 to 1.194)","1.093
(1.020 to 1.177)","1.085
(1.019 to 1.161)","1.076
(1.017 to 1.144)","1.068
(1.015 to 1.128)","1.061
(1.013 to 1.114)","1.052
(1.012 to 1.098)","1.036
(1.008 to 1.066)"
Ischaemic heart disease,100 g/day,Both,Both,,,,,,,,,,"1.249
(1.089 to 1.449)","1.205
(1.074 to 1.364)","1.154
(1.057 to 1.271)","1.126
(1.047 to 1.220)","1.121
(1.045 to 1.211)","1.111
(1.042 to 1.194)","1.098
(1.037 to 1.169)","1.086
(1.032 to 1.148)","1.077
(1.029 to 1.133)","1.070
(1.027 to 1.120)","1.064
(1.024 to 1.109)","1.057
(1.022 to 1.097)"
Ischaemic stroke,100 g/day,Both,Both,,,,,,,,,,"1.249
(1.048 to 1.463)","1.211
(1.041 to 1.389)","1.165
(1.033 to 1.300)","1.132
(1.026 to 1.238)","1.113
(1.023 to 1.203)","1.095
(1.019 to 1.170)","1.079
(1.016 to 1.141)","1.065
(1.013 to 1.116)","1.054
(1.011 to 1.096)","1.044
(1.009 to 1.077)","1.035
(1.007 to 1.061)","1.017
(1.004 to 1.029)"
Hemorrhagic stroke,100 g/day,Both,Both,,,,,,,,,,"1.177
(1.046 to 1.326)","1.153
(1.040 to 1.278)","1.122
(1.032 to 1.220)","1.102
(1.027 to 1.184)","1.095
(1.025 to 1.170)","1.086
(1.023 to 1.153)","1.075
(1.020 to 1.134)","1.066
(1.018 to 1.117)","1.057
(1.015 to 1.101)","1.049
(1.013 to 1.086)","1.040
(1.011 to 1.071)","1.020
(1.005 to 1.035)"
Diet low in whole grains,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,50 g/day,Both,Both,,,,,,,,,,"1.478
(1.273 to 1.722)","1.387
(1.224 to 1.578)","1.285
(1.168 to 1.419)","1.228
(1.136 to 1.333)","1.216
(1.129 to 1.314)","1.194
(1.116 to 1.282)","1.165
(1.099 to 1.238)","1.141
(1.085 to 1.203)","1.125
(1.076 to 1.179)","1.112
(1.068 to 1.160)","1.102
(1.062 to 1.145)","1.097
(1.059 to 1.138)"
Ischaemic stroke,50 g/day,Both,Both,,,,,,,,,,"2.075
(1.669 to 2.519)","1.863
(1.548 to 2.200)","1.624
(1.406 to 1.850)","1.466
(1.309 to 1.625)","1.380
(1.255 to 1.506)","1.304
(1.206 to 1.402)","1.241
(1.165 to 1.316)","1.189
(1.130 to 1.247)","1.150
(1.104 to 1.195)","1.117
(1.081 to 1.152)","1.090
(1.063 to 1.116)","1.041
(1.029 to 1.053)"
Hemorrhagic stroke,50 g/day,Both,Both,,,,,,,,,,"1.596
(1.406 to 1.825)","1.484
(1.333 to 1.662)","1.349
(1.244 to 1.471)","1.276
(1.194 to 1.369)","1.258
(1.182 to 1.344)","1.232
(1.165 to 1.309)","1.201
(1.143 to 1.267)","1.176
(1.126 to 1.233)","1.150
(1.108 to 1.198)","1.128
(1.092 to 1.169)","1.106
(1.076 to 1.139)","1.050
(1.036 to 1.065)"
Diabetes mellitus,50 g/day,Both,Both,,,,,,,,,,"1.231
(1.124 to 1.349)","1.226
(1.121 to 1.341)","1.220
(1.118 to 1.331)","1.208
(1.112 to 1.313)","1.189
(1.102 to 1.283)","1.172
(1.093 to 1.256)","1.156
(1.085 to 1.232)","1.139
(1.076 to 1.207)","1.125
(1.068 to 1.185)","1.111
(1.061 to 1.163)","1.095
(1.053 to 1.140)","1.064
(1.036 to 1.094)"
Diet low in nuts and seeds,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,4.05 g/day,Morbidity,Both,,,,,,,,,,"1.176
(1.053 to 1.322)","1.143
(1.044 to 1.260)","1.105
(1.033 to 1.188)","1.084
(1.026 to 1.150)","1.081
(1.025 to 1.144)","1.074
(1.023 to 1.132)","1.064
(1.020 to 1.114)","1.056
(1.018 to 1.099)","1.050
(1.016 to 1.089)","1.046
(1.015 to 1.081)","1.042
(1.013 to 1.075)","1.039
(1.013 to 1.069)"
Ischaemic heart disease,4.05 g/day,Mortality,Both,,,,,,,,,,"1.209
(1.128 to 1.296)","1.169
(1.105 to 1.239)","1.124
(1.077 to 1.174)","1.099
(1.062 to 1.138)","1.095
(1.060 to 1.133)","1.088
(1.055 to 1.122)","1.076
(1.048 to 1.105)","1.066
(1.042 to 1.092)","1.059
(1.037 to 1.082)","1.054
(1.034 to 1.075)","1.050
(1.032 to 1.069)","1.046
(1.029 to 1.064)"
Diabetes mellitus,4.05 g/day,Both,Both,,,,,,,,,,"1.050
(1.025 to 1.075)","1.049
(1.025 to 1.073)","1.048
(1.024 to 1.071)","1.045
(1.023 to 1.068)","1.041
(1.021 to 1.062)","1.038
(1.019 to 1.057)","1.035
(1.017 to 1.052)","1.031
(1.016 to 1.046)","1.028
(1.014 to 1.042)","1.025
(1.013 to 1.037)","1.022
(1.011 to 1.032)","1.015
(1.007 to 1.022)"
Diet low in milk,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,226.8 g/day,Both,Both,,,,,,,,,,"1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)","1.113
(1.038 to 1.203)"
Diet high in red meat,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,100 g/day,Both,Both,,,,,,,,,,"1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)","1.167
(1.033 to 1.309)"
Diabetes mellitus,100 g/day,Both,Both,,,,,,,,,,"1.322
(1.036 to 1.604)","1.314
(1.035 to 1.588)","1.305
(1.034 to 1.570)","1.288
(1.033 to 1.536)","1.260
(1.030 to 1.481)","1.236
(1.027 to 1.434)","1.213
(1.025 to 1.390)","1.190
(1.023 to 1.346)","1.169
(1.020 to 1.306)","1.150
(1.018 to 1.270)","1.128
(1.016 to 1.230)","1.086
(1.011 to 1.152)"
Diet high in processed meat,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,50 g/day,Both,Both,,,,,,,,,,"1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)","1.179
(1.092 to 1.267)"
Ischaemic heart disease,50 g/day,Both,Both,,,,,,,,,,"2.568
(1.045 to 4.695)","2.124
(1.036 to 3.501)","1.720
(1.026 to 2.501)","1.545
(1.021 to 2.101)","1.547
(1.021 to 2.106)","1.520
(1.020 to 2.045)","1.467
(1.019 to 1.928)","1.422
(1.017 to 1.832)","1.386
(1.016 to 1.755)","1.354
(1.015 to 1.687)","1.325
(1.014 to 1.626)","1.252
(1.011 to 1.478)"
Diabetes mellitus,50 g/day,Both,Both,,,,,,,,,,"1.940
(1.388 to 2.558)","1.913
(1.379 to 2.508)","1.881
(1.368 to 2.451)","1.824
(1.347 to 2.348)","1.731
(1.313 to 2.182)","1.653
(1.284 to 2.045)","1.583
(1.257 to 1.924)","1.512
(1.229 to 1.804)","1.450
(1.204 to 1.700)","1.393
(1.180 to 1.607)","1.332
(1.154 to 1.508)","1.216
(1.103 to 1.325)"
Diet high in sugar-sweetened beverages*,,,,,,,,,,,,,,,,,,,,,,,,
,BMI  < 25,Both,Both,,,,,,,,,,"0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)","0.090
(0.050 to 0.140)"
,BMI > 25,Both,Both,,,,,,,,,,"0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)","0.230
(0.140 to 0.320)"
Diet low in fibre,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,20 g/day,Both,Both,,,,,,,,,,"1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)","1.236
(1.133 to 1.350)"
Ischaemic heart disease,20 g/day,Both,Both,,,,,,,,,,"1.688
(1.414 to 2.029)","1.622
(1.377 to 1.923)","1.529
(1.325 to 1.777)","1.450
(1.279 to 1.654)","1.387
(1.243 to 1.559)","1.318
(1.201 to 1.455)","1.242
(1.155 to 1.343)","1.184
(1.119 to 1.258)","1.147
(1.096 to 1.205)","1.118
(1.077 to 1.164)","1.097
(1.064 to 1.135)","1.133
(1.087 to 1.185)"
Diet low in calcium,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,g/day,Both,Both,,,,,,,,,,"1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)","1.372
(1.267 to 1.485)"
Diet low in seafood omega-3 fatty acids,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,100 mg/day,Morbidity,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic heart disease,100 mg/day,Mortality,Both,,,,,,,,,,"1.291
(1.109 to 1.506)","1.249
(1.094 to 1.429)","1.199
(1.076 to 1.339)","1.173
(1.067 to 1.293)","1.165
(1.064 to 1.280)","1.154
(1.060 to 1.260)","1.140
(1.055 to 1.236)","1.126
(1.050 to 1.212)","1.113
(1.045 to 1.189)","1.101
(1.040 to 1.168)","1.088
(1.035 to 1.145)","1.062
(1.025 to 1.102)"
Diet low in polyunsaturated fatty acids,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,5% energy/day,Both,Both,,,,,,,,,,"1.267
(1.097 to 1.452)","1.211
(1.078 to 1.352)","1.148
(1.056 to 1.244)","1.114
(1.043 to 1.186)","1.111
(1.042 to 1.181)","1.101
(1.039 to 1.165)","1.086
(1.033 to 1.140)","1.075
(1.029 to 1.121)","1.068
(1.026 to 1.110)","1.063
(1.024 to 1.102)","1.060
(1.023 to 1.097)","1.063
(1.024 to 1.102)"
Diet high in trans fatty acids,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,2% energy/day,Both,Both,,,,,,,,,,"1.901
(1.590 to 2.276)","1.775
(1.514 to 2.085)","1.615
(1.414 to 1.849)","1.517
(1.352 to 1.707)","1.461
(1.316 to 1.627)","1.396
(1.273 to 1.535)","1.323
(1.225 to 1.433)","1.264
(1.185 to 1.352)","1.222
(1.156 to 1.294)","1.186
(1.132 to 1.246)","1.158
(1.112 to 1.207)","1.150
(1.107 to 1.197)"
Diet high in sodium**,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-Black, Non-Hypertensive",Both,Both,,,,,,,,,,"-1.366
(-1.937 to -0.795)","-1.882
(-2.434 to -1.330)","-2.397
(-2.967 to -1.828)","-2.913
(-3.533 to -2.292)","-3.428
(-4.126 to -2.730)","-3.944
(-4.738 to -3.150)","-4.459
(-5.362 to -3.556)","-4.975
(-5.995 to -3.954)","-5.490
(-6.634 to -4.347)","-5.490
(-6.634 to -4.347)","-5.490
(-6.634 to -4.347)","-5.490
(-6.634 to -4.347)"
,"Non-Black, Hypertensive",Both,Both,,,,,,,,,,"-3.300
(-4.147 to -2.454)","-3.816
(-4.547 to -3.085)","-4.331
(-4.959 to -3.704)","-4.847
(-5.389 to -4.305)","-5.363
(-5.848 to -4.877)","-5.878
(-6.346 to -5.411)","-6.394
(-6.886 to -5.901)","-6.909
(-7.464 to -6.354)","-7.425
(-8.069 to -6.781)","-7.425
(-8.069 to -6.781)","-7.425
(-8.069 to -6.781)","-7.425
(-8.069 to -6.781)"
,"Black, Non-Hypertensive",Both,Both,,,,,,,,,,"-3.910
(-5.065 to -2.755)","-4.426
(-5.564 to -3.287)","-4.941
(-6.081 to -3.802)","-5.457
(-6.616 to -4.298)","-5.972
(-7.168 to -4.777)","-6.488
(-7.735 to -5.241)","-7.004
(-8.316 to -5.691)","-7.519
(-8.909 to -6.129)","-8.035
(-9.512 to -6.557)","-8.035
(-9.512 to -6.557)","-8.035
(-9.512 to -6.557)","-8.035
(-9.512 to -6.557)"
,"Black, Hypertensive",Both,Both,,,,,,,,,,"-5.844
(-7.222 to -4.467)","-6.360
(-7.663 to -5.057)","-6.876
(-8.117 to -5.635)","-7.391
(-8.584 to -6.198)","-7.907
(-9.068 to -6.745)","-8.422
(-9.569 to -7.275)","-8.938
(-10.088 to -7.788)","-9.453
(-10.624 to -8.282)","-9.969
(-11.178 to -8.760)","-9.969
(-11.178 to -8.760)","-9.969
(-11.178 to -8.760)","-9.969
(-11.178 to -8.760)"
Childhood sexual abuse,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol use disorders,Exposed,Both,Male,,"1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)"
Alcohol use disorders,Not exposed,Both,Male,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Alcohol use disorders,Exposed,Both,Female,,"1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)","1.583
(0.993 to 2.376)"
Alcohol use disorders,Not exposed,Both,Female,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Self-harm,Exposed,Both,Male,,"2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)"
Self-harm,Not exposed,Both,Male,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Self-harm,Exposed,Both,Female,,"2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)","2.874
(1.369 to 5.430)"
Self-harm,Not exposed,Both,Female,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Intimate partner violence (exposure approach),,,,,,,,,,,,,,,,,,,,,,,,
"Maternal abortion, miscarriage, and ectopic pregnancy",Exposed,Both,Both,,,,,,,,"2.090
(1.613 to 2.674)","2.076
(1.630 to 2.621)","2.092
(1.624 to 2.676)","2.083
(1.633 to 2.628)","2.099
(1.618 to 2.636)","2.094
(1.648 to 2.651)","2.087
(1.649 to 2.638)",,,,,,,
"Maternal abortion, miscarriage, and ectopic pregnancy",Not exposed,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,
Self-harm,Exposed,Both,Both,,,,,,,,"5.086
(1.784 to 11.744)","5.017
(1.762 to 11.534)","4.979
(1.669 to 11.483)","5.042
(1.782 to 11.936)","5.036
(1.702 to 11.893)","5.135
(1.754 to 11.833)","5.208
(1.716 to 11.294)","5.074
(1.751 to 11.401)","4.996
(1.820 to 11.124)","5.002
(1.757 to 10.765)","5.190
(1.830 to 11.750)","5.037
(1.783 to 11.163)","5.106
(1.859 to 11.258)","5.081
(1.848 to 11.578)"
Self-harm,Not exposed,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Low physical activity,,,,,,,,,,,,,,,,,,,,,,,,
Colon and rectum cancer,<600 METs,Both,Both,,,,,,,,,,"1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)","1.293
(1.211 to 1.381)"
Colon and rectum cancer,"600-3,999 METs",Both,Both,,,,,,,,,,"1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)","1.172
(1.094 to 1.260)"
Colon and rectum cancer,"4,000-7,999 METs",Both,Both,,,,,,,,,,"1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)","1.067
(0.965 to 1.181)"
Colon and rectum cancer,"_8,000 METs",Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Breast cancer,<600 METs,Both,Both,,,,,,,,,,"1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)","1.159
(1.111 to 1.207)"
Breast cancer,"600-3,999 METs",Both,Both,,,,,,,,,,"1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)","1.120
(1.081 to 1.162)"
Breast cancer,"4,000-7,999 METs",Both,Both,,,,,,,,,,"1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)","1.090
(1.047 to 1.135)"
Breast cancer,"_8,000 METs",Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic heart disease,<600 METs,Both,Both,,,,,,,,,,"1.565
(1.397 to 1.742)","1.524
(1.370 to 1.686)","1.484
(1.343 to 1.632)","1.445
(1.317 to 1.579)","1.408
(1.292 to 1.529)","1.371
(1.266 to 1.479)","1.336
(1.242 to 1.432)","1.301
(1.218 to 1.386)","1.267
(1.194 to 1.341)","1.234
(1.171 to 1.298)","1.202
(1.148 to 1.257)","1.171
(1.125 to 1.216)"
Ischaemic heart disease,"600-3,999 METs",Both,Both,,,,,,,,,,"1.181
(1.063 to 1.310)","1.170
(1.059 to 1.289)","1.158
(1.055 to 1.269)","1.147
(1.051 to 1.249)","1.136
(1.047 to 1.229)","1.125
(1.044 to 1.210)","1.114
(1.040 to 1.191)","1.103
(1.036 to 1.172)","1.092
(1.033 to 1.154)","1.081
(1.029 to 1.135)","1.071
(1.025 to 1.117)","1.060
(1.022 to 1.100)"
Ischaemic heart disease,"4,000-7,999 METs",Both,Both,,,,,,,,,,"1.034
(0.878 to 1.206)","1.032
(0.885 to 1.193)","1.030
(0.891 to 1.180)","1.028
(0.898 to 1.167)","1.025
(0.905 to 1.154)","1.023
(0.912 to 1.141)","1.021
(0.919 to 1.129)","1.019
(0.926 to 1.116)","1.017
(0.933 to 1.104)","1.015
(0.940 to 1.092)","1.013
(0.948 to 1.080)","1.011
(0.955 to 1.068)"
Ischaemic heart disease,"_8,000 METs",Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
